structure_number,county,county_fips,owner_code,owner,facility_carried,feature_intersected,location,route_prefix,route_number,functional_class,lat,lon,coord_note,year_built,year_reconstructed,age_yrs,material,structure_type_code,service_under,over_water,n_main_spans,structure_len_m,deck_width_m,adt,adt_year,deck_cond,superstructure_cond,substructure_cond,culvert_cond,channel_cond,waterway_adequacy,scour_critical,condition,lowest_rating,fhwa_condition,condition_color,work_proposed_code,work_proposed,replacement_proposed,year_of_improvement,improvement_cost_k,inspection_date,nbi_year,parse_notes
000000000000671,Logan,083,1,State Highway Agency,SH  23-Logan Co.,Petit Jean River,0.02 MI NO OF JCT SH 116,3,,06,35.106839,-93.923714,,1961,,63,Steel,02,Waterway,1,1,102.4,9.6,2900,2018,6,6,5,,6,8,5,Fair,5,Fair,#f9a825,,,0,,,522,2024,
000000000000338,Marion,089,1,State Highway Agency,SH 14 Marion,CROOKED CREEK,0.16 MI S JCT US 62-SH 14,3,,06,36.223400,-92.679642,,1959,,65,Steel,02,Waterway,1,2,131.7,7.6,5190,2018,7,6,6,,5,8,5,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,1910,1023,2024,
000000000000476,Marion,089,4,City or Municipal Highway Agency,E Main St Flippin,FALLEN ASH CREEK,.3 MI E JCT SH 178,5,,09,36.277694,-92.594781,,1928,1979,96,Concrete,04,Waterway,1,4,42.7,14.3,6200,2018,7,7,7,,7,8,8,Good,7,Good,#2e7d32,,,0,,,922,2024,
000000000000677,Marion,089,1,State Highway Agency,SH 178 Marion,FALLEN ASH CREEK,1.34 MI N SH 178 & US 62,3,,07,36.275769,-92.600931,,1929,1979,95,Concrete,04,Waterway,1,3,32.0,14.3,3200,2018,7,6,6,,6,9,3,Fair,6,Fair,#f9a825,,,0,,,523,2024,
000000000000702,Marion,089,1,State Highway Agency,US 62B-S 9-Marion,RR WHITE RIVER,.50 MI E OF JCT 412/62,2,,07,36.267781,-92.547378,,1930,2004,94,Concrete,12,Railroad-waterway,1,6,550.2,8.8,1000,2018,6,6,6,,6,8,5,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,2827,1022,2024,
000000000000263,Miller,091,1,State Highway Agency,US 71 SEC.01- 5.03,KELLEY BAYOU,5 MILES N. LOUISIANA SL.,2,,06,33.090542,-93.902344,,1942,,82,Concrete,04,Waterway,1,4,30.5,9.8,625,2018,6,6,6,,6,6,7,Fair,6,Fair,#f9a825,,,0,,,823,2024,
000000000000264,Miller,091,1,State Highway Agency,US 71 SEC.01- 0.45,WESTFORK KELLY BAYOU,.5MI. N. LOUISIANA S.L.,2,,06,33.025800,-93.892281,,1927,1942,97,Concrete,04,Waterway,1,6,46.3,9.8,330,2018,6,6,6,,7,7,5,Fair,6,Fair,#f9a825,,,0,,,723,2024,
000000000000700,Montgomery,097,1,State Highway Agency,SH  8,Huddleston Creek,15.93 M E Of Polk Co Line,3,,06,34.453269,-93.678786,,1929,,95,Concrete,04,Waterway,1,3,32.6,6.9,2095,2018,6,6,6,,7,7,8,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,469,923,2024,
000000000000585,Newton,101,1,State Highway Agency,SH 7 Newton,HARP CREEK,2.14 MI SO OF DOGPATCH,3,,06,36.082581,-93.137192,,1928,,96,Concrete,11,Waterway,1,1,35.7,7.0,2400,2018,6,5,7,,8,8,8,Fair,5,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,490,123,2024,
000000000000586,Newton,101,1,State Highway Agency,SH  7 Newton,MILL CREEK,4.03 MI SO OF BOONE CO LN,3,,06,36.109558,-93.134178,,1928,,96,Concrete,04,Waterway,1,3,28.7,7.0,2600,2022,5,4,4,,7,8,8,Poor,4,Poor,#c62828,31,Replacement because of substandard load capacity or structural condition,1,,442,123,2024,
